document_id,clean_text,sentiment
1,wow the penguin is just terrific everyone knows what a great actor colin farrell is but hes unrecognizable here as the penguin i wouldnt be surprised to see him nominated for some awards for his role in this the biggest surprise was cristin milioti as sofia falcone i wasnt too sure when i heard she was named actress for this role shes a good actress but didnt think this role was for her i was wrong shes as good as farrell is in this and makes you believe sofia falcone is a true rival to the penguin i also wouldnt be surprised to see how nominated for some awards for her role in this this isnt your typical dc or marvel show its a full on gangster series this series takes place in the underworld of a now semi destroyed gotham city and is a great follow up to matt reeves the batman this is how you do it dc,positive
2,absolutely nailed the tone and atmosphere gritty and grimy and dark but farrell is able to capture that glimmer of charm gandolfinis tony soprano didthere are similarities to the sopranos especially in tone a lot of dark stuff goes down in this opening episode but theres still comedic moments that match the tone and dont undermine itwhere to start with farrell amazing is the right word love to see talented star actors go all in on roles like this and the makeupcgi or whatever exactly they did with transforming him into the penguin physically not only passes the eye test it looks incredible realistic there is always the risk that if the make up job isnt good enough or is just a little off it can completely distract in the penguin it adds to his performance and the overall quality of the show because its such a damn good job and farrell as an actor is completely immersed in this role im maybe a little biased because he is one of my favorite actors prior to this show but i think this is going to get him welldeserved accoladesi never really tune into new shows right away because i like to watch the episodes all at once but i wanted to see how this one actually came outdidnt disappoint in fact blew me away kudos to everyone involved with this project,negative
3,the first episode is a direct continuation of matt reeves the batman and i imagine those who havent seen the latter will be a bit lost but i watched the batman a while ago and this show did an admirable job of quickly refamiliarizing me with where the movie left off and without getting bogged down in a didactic recap it also recaptures the movies aesthetic and grim tone nicely although the show has a lot more moments of sly levity than the movie didas in the batman colin farrell does an excellent job portraying the penguin as a stereotypical mafia street guy uncouth profane mercurial and quick to violence but also savvy cunning and able to read people the character might have absolutely nothing to do with the comic book version but hes interesting in his own righti have my doubts about the show giving the penguin at teenage sidekick and i dont know if the penguins machinations will be enough to sustain a whole season but so far its off to a great start,positive
4,the batman for my taste had simply the greatest portrayal of gotham city put on film the environment was disgustingly dank and visually everything youd wanna see for what its known as a large part of that was its mob underworld where oswald aka penguin was starting to take control this series fully accelerates these aspects and perfectly builds off of the film i cant say enough about colin farrells performance in this and honestly it may be his magnum opus the guy gives the character the most gritty and guttery feel he can and its so well done it resonates  even without the batman the intrigue from him is so strong you dont even notice it the other side characters are pretty well done though some of the cast choices seem a little off for a few i can overlook that though this series perfectly continues to set up this batman universe and i cant wait to see where they go from here one of the best series within the last decade easily give colin farrell all the awards he deserves for this role,negative
5,ive been waiting for the penguin ever since it was first announced it was going to series and i can tell you its every bit as good as i expected colin farrell is absolutely terrific as oz cobb aka the penguin he was a standout on the batman and is even better in a lead role on top of that cristin milioti is just as good as sofia falcone the two of them fight to see who is the  gangster in gotham and to bring order in all the chaos some people were worried that a supporting character like the penguin couldnt carry a show and it wouldnt work not having batman or bruce wayne but fear not because this is more than just villain character on a superhero show its a great crime drama on its own its a gritty violent crime drama thats so fun to watch unfold i hope we get more stories like this from this world,positive
6,"chaos is not a pit chaos is a ladder
in the context of lord baelish this is how the penguin dealt with the destroyed gotham full of corruption and devastation to be an ideal and very fertile environment for building his own authorityas an extension of what happened in the batman and the disaster that befell the city i saw an opening scene that was one of the most amazing disasters that occurred and the chaos that we see with the penguins looks is nothing but an indication that the penguin was placed in the right place at the right time to exploit the overwhelming chaos and of course he is the right man as welli dont have a great background in the world of comics or the penguin character but i didnt have a problem understanding the events and the characters style all you have to do to watch the work is watch the batman movie and thats more than enough",negative
7,i thought colin farrell was great as penguin in the batman but i have never understood casting a skinny good looking fit actor and putting him in massive prosthesis and a fat suitespecially when i kind of think he looks like some other famous actors who would also have been just as good i also really didnt get why this spinoff was coming and to be honest am just tired of batman reboots but after episode  i will confirm this show to be amazing so far i only watched it know it was a necessary to watch bridge between the first and second movies and my surprise enjoyment of farrell in the role in the first one but i wasnt expecting to like it nearly this much the acting is terrific the writing is superb and it surpised me with some quick twists the biggest thing that i liked was the fact that there was so much more color in this than in the batman i noticed it almost immediately as it was a huge complaint for me about the movie it felt like watching it through a zack snyder lense i hope this keeps being as good as it goes along because i genuinely cant wait until the next episode,positive
8,so the first episode is done and it was excellent ive never seen farell so invested in a character i mean yes hes wearing a fat suit but youd never know it his attitude body language voice all make you submerge into the character and only see penguin it has no relationship to any of the other live tv penguins burgess meredith or robin lord taylor this a new york mobster a wise guy hes a scorsese mobster but without the florid languagethe plot is simple similar to lord taylors penguin in the cws gotham the penguin is a middle man in a mob organization up until now hes been doing his time slowly moving up in the mob and then with the effects of the riddler blowing up the city sea wall and the death of his boss in that movie he sees a chance to move up in the world now begins the game of cross double cross and i suppose triple cross highly entertaining and very much recommended,negative
9,have to admit while i was lukewarm to the latest iteration of the caped crusader in s the batman i was impressed by at least one characters reimagining in colin farrells oswald cobblepot aka the penguin although also admittedly not to the extent that i wouldve ever guessed thered be a whole series dedicated to this seemingly d yet very complex character translation of one of gotham citys most infamous villains but here we are given the overall impact of recent reimagining projects of established dcu characters in recent years this was a refreshing surprise in the acting writing and character development of not just farrells penguin but also cristin miliotis sofia falcone its dark its gritty and it makes for brilliant canon  for a tv series in,positive
10,the penguins first episode had me good it got me so invested from the opening scene to the end it was paced amazingly there was not a single moment i didnt enjoy it felt like watching the sopranos in a gritty batman world and collins acting is really on point sofia also stood out with her acting and she is really the perfect crazy villain for oswald i honestly cannot see this series going downhill for anything because the first episode sets this series up for something great i loved how it took place right after the batman while it still felt fresh and new all i can say is that im so in for this,negative
